id,problem,answer
229ee8,"Let $k, l > 0$ be parameters. The parabola $y = kx^2 - 2kx + l$ intersects the line $y = 4$ at two points $A$ and $B$. These points are distance 6 apart. What is the sum of the squares of the distances from $A$ and $B$ to the origin?",52
246d26,Each of the three-digits numbers $111$ to $999$ is coloured blue or yellow in such a way that the sum of any two (not necessarily different) yellow numbers is equal to a blue number. What is the maximum possible number of yellow numbers there can be?,250
2fc4ad,"Let the `sparkle' operation on positive integer $n$ consist of calculating the sum of the digits of $n$ and taking its factorial, e.g. the sparkle of 13 is $4! = 24$. A robot starts with a positive integer on a blackboard, then after each second for the rest of eternity, replaces the number on the board with its sparkle. For some `special' numbers, if they're the first number, then eventually every number that appears will be less than 6. How many such special numbers are there with at most 36 digits?",702
430b63,What is the minimum value of $5x^2+5y^2-8xy$ when $x$ and $y$ range over all real numbers such that $|x-2y| + |y-2x| = 40$?,800
5277ed,There exists a unique increasing geometric sequence of five 2-digit positive integers. What is their sum?,211
739bc9,For how many positive integers $m$ does the equation \[\vert \vert x-1 \vert -2 \vert=\frac{m}{100}\] have $4$ distinct solutions?,199
82e2a0,"Suppose that we roll four 6-sided fair dice with faces numbered 1 to~6. Let $a/b$ be the probability that the highest roll is a 5, where $a$ and $b$ are relatively prime positive integers. Find $a + b$.",185
8ee6f3,"The points $\left(x, y\right)$ satisfying $((\vert x + y \vert - 10)^2 + ( \vert x - y \vert - 10)^2)((\vert x \vert - 8)^2 + ( \vert y \vert - 8)^2) = 0$ enclose a convex polygon. What is the area of this convex polygon?",320
bedda4,Let $ABCD$ be a unit square. Let $P$ be the point on $AB$ such that $|AP| = 1/{20}$ and let $Q$ be the point on $AD$ such that $|AQ| = 1/{24}$. The lines $DP$ and $BQ$ divide the square into four regions. Find the ratio between the areas of the largest region and the smallest region.,480
d7e9c9,A function $f: \mathbb N \to \mathbb N$ satisfies the following two conditions for all positive integers $n$:$f(f(f(n)))=8n-7$ and $f(2n)=2f(n)+1$. Calculate $f(100)$.,199
229ee8_al,"Let $k, l > 0$ be parameters. The parabola $y = kx^2 - 2kx + l$ intersects the horizontal line $y = 4$ at two points, $A$ and $B$. These points are 6 units apart. Determine the sum of the squares of the distances from points $A$ and $B$ to the origin.",52
229ee8_uil,"Let $k$ and $l$ be positive numbers. The parabola given by $y = kx^2 - 2kx + l$ meets the line $y = 4$ at two points, $A$ and $B$, which are 6 units apart. Calculate the sum of the squares of the distances from $A$ and $B$ to the origin.",52
229ee8_il,"For positive values of $k$ and $l$, the parabola $y = kx^2 - 2kx + l$ crosses the line $y = 4$ at two points $A$ and $B$. These points are 6 units away from each other. Find the total of the squares of the distances from $A$ and $B$ to the origin.",52
229ee8_el,"If $k$ and $l$ are positive numbers, the curve $y = kx^2 - 2kx + l$ meets the line $y = 4$ at points $A$ and $B$. The distance between $A$ and $B$ is 6. What is the sum of the squares of the distances from $A$ and $B$ to the origin?",52
229ee8_bl,"Imagine two positive numbers $k$ and $l$. There is a curve $y = kx^2 - 2kx + l$ that touches the line $y = 4$ at two points $A$ and $B$. The distance between $A$ and $B$ is 6 units. Find out how far $A$ and $B$ are from the origin, squared, and add these distances together.",52
246d26_al,Each of the three-digit numbers $111$ to $999$ is colored either blue or yellow such that the sum of any two (not necessarily different) yellow numbers equals a blue number. What is the maximum possible number of yellow numbers?,250
246d26_uil,"Consider the three-digit numbers from $111$ to $999$. Each number is painted blue or yellow. If the sum of any two yellow numbers (they can be the same number) results in a blue number, find the maximum count of yellow numbers.",250
246d26_il,Take all three-digit numbers from $111$ to $999$. They are colored either blue or yellow. The rule is that the sum of any two yellow numbers (they might be the same) must equal a blue number. What is the highest number of yellow numbers you can have?,250
246d26_el,"All three-digit numbers from $111$ to $999$ are either blue or yellow. The rule is: if you add any two yellow numbers (they can be the same), the result is a blue number. What is the most yellow numbers you can have?",250
246d26_bl,"Imagine all three-digit numbers from $111$ to $999$. Each number is colored blue or yellow. The rule is that when you add any two yellow numbers (they can be the same), you get a blue number. What is the largest number of yellow numbers you can have?",250
2fc4ad_al,"Let the `sparkle' operation on positive integer $n$ consist of calculating the sum of the digits of $n$ and taking its factorial, e.g. the sparkle of 13 is $4! = 24$. A robot starts with a positive integer on a blackboard, then after each second for the rest of eternity, replaces the number on the board with its sparkle. For some `special' numbers, if they're the first number, then eventually every number that appears will be less than 6. How many such special numbers are there with at most 36 digits?",702
2fc4ad_uil,"Consider the `sparkle' operation on a positive integer $n$, which involves summing the digits of $n$ and then computing the factorial of this sum. For example, the sparkle of 13 is $4! = 24$. A robot begins with a positive integer on a blackboard and continuously replaces the number with its sparkle every second indefinitely. There exist `special' numbers such that if they are the initial number, eventually all numbers appearing on the board will be less than 6. Determine the count of such special numbers having at most 36 digits.",702
2fc4ad_il,"The `sparkle' operation on a positive integer $n$ involves calculating the sum of the digits of $n$ and taking the factorial of this sum. For instance, the sparkle of 13 is $4! = 24$. A robot starts with a positive integer on a blackboard and keeps replacing the number with its sparkle every second, forever. There are some `special' numbers for which, if used as the starting number, all numbers appearing on the board will eventually be less than 6. How many such special numbers exist that have at most 36 digits?",702
2fc4ad_el,"Imagine a `sparkle' operation on a positive number $n$. This operation sums the digits of $n$ and then takes the factorial of that sum. For example, the sparkle of 13 is $4! = 24$. A robot writes a positive number on a blackboard and replaces it with its sparkle every second forever. There are `special' numbers such that if the robot starts with one of these numbers, all numbers on the board will eventually be less than 6. How many special numbers are there that have at most 36 digits?",702
2fc4ad_bl,"Think about a `sparkle' operation on a positive number $n$, where you add the digits of $n$ and then take the factorial of that sum. For example, the sparkle of 13 is $4! = 24$. A robot starts with a positive number on a blackboard and keeps changing it to its sparkle every second forever. Some numbers are `special' because if the robot starts with them, every number that appears will eventually be less than 6. How many special numbers are there with up to 36 digits?",702
430b63_al,What is the minimum value of $5x^2 + 5y^2 - 8xy$ when $x$ and $y$ range over all real numbers such that $|x - 2y| + |y - 2x| = 40$?,800
430b63_uil,Find the minimum value of $5x^2 + 5y^2 - 8xy$ for all real numbers $x$ and $y$ that satisfy $|x - 2y| + |y - 2x| = 40$.,800
430b63_il,Determine the minimum value of $5x^2 + 5y^2 - 8xy$ when $x$ and $y$ are any real numbers such that $|x - 2y| + |y - 2x| = 40$.,800
430b63_el,Calculate the minimum value of $5x^2 + 5y^2 - 8xy$ for all real numbers $x$ and $y$ if $|x - 2y| + |y - 2x| = 40$.,800
430b63_bl,What is the smallest value of $5x^2 + 5y^2 - 8xy$ if $x$ and $y$ are real numbers and $|x - 2y| + |y - 2x| = 40$?,800
5277ed_al,There exists a unique increasing geometric sequence of five 2-digit positive integers. What is their sum?,211
5277ed_uil,There is only one increasing geometric sequence of five 2-digit positive integers. What is the sum of these integers?,211
5277ed_il,Find the sum of the unique increasing geometric sequence of five 2-digit positive integers.,211
5277ed_el,There is a unique increasing sequence of five 2-digit positive integers in a geometric progression. What is their sum?,211
5277ed_bl,There is only one increasing sequence of five 2-digit positive numbers where each number is multiplied by the same amount to get the next number. What is their sum?,211
739bc9_al,For how many positive integers $m$ does the equation \[\vert \vert x-1 \vert -2 \vert=\frac{m}{100}\] have $4$ distinct solutions?,199
739bc9_uil,Find the number of positive integers $m$ such that the equation \[\vert \vert x-1 \vert -2 \vert=\frac{m}{100}\] has $4$ distinct solutions.,199
